AT5G37670	AT5G15450
AT5G61210	AT2G37170
AT4G02630	AT1G61380
AT3G17600	AT2G23170
AT4G39970	AT1G56500
AT3G09520	AT1G72470
AT3G42880	AT3G28040
AT1G28470	AT1G25580
AT1G04410	AT1G01090
AT5G60460	AT3G59920
AT5G67200	AT3G02130
AT3G62550	AT3G50980
AT4G28520	AT1G32560
AT5G49780	AT1G48480
AT5G41180	AT3G47090
AT2G45340	AT1G72180
AT4G10960	AT1G14520
AT3G02570	AT2G15470
AT3G21670	AT3G17650
AT3G45280	AT3G08790
AT3G24500	AT2G46770
AT3G01770	AT2G46770
AT5G41160	AT1G57943
AT5G01890	AT4G39270
AT5G61410	AT1G74030
AT5G01340	AT4G01100
AT3G25165	AT2G20660
AT3G54990	AT1G02220
AT3G45680	AT1G59740
AT5G01810	AT3G56860
AT3G50860	AT1G02690
AT1G55810	AT1G32060
AT5G04110	AT1G63990
AT5G18200	AT2G32090
AT4G02320	AT3G59010
AT5G65165	AT5G13440
AT2G46390	AT1G22450
AT4G34790	AT1G59500
AT5G63790	AT1G69490
AT4G28390	AT3G53940
AT5G08717	AT2G25095
AT5G50820	AT3G17730
AT5G62575	AT4G37830
AT5G54740	AT3G58550
AT4G39130	AT1G20450
AT4G20410	AT1G10730
AT5G41800	AT5G38820
AT3G50020	AT2G38870
AT4G33450	AT4G27410
AT4G21710	AT1G68990
AT3G58680	AT1G12630
AT3G53520	AT1G22430
AT2G33860	AT1G29450
AT4G21280	AT3G55440
AT2G45210	AT1G51950
AT1G12580	AT1G08720
AT2G38540	AT1G32280
AT5G25510	AT1G69970
AT5G22220	AT2G42680
AT3G61910	AT2G26150
AT3G20440	AT2G32090
AT5G39740	AT1G48920
AT5G08080	AT3G07680
AT4G31320	AT1G48690
AT5G46390	AT3G47290
AT3G04120	AT1G43670
AT2G20360	AT1G08480
AT4G12530	AT3G22620
AT3G52930	AT1G31330
AT2G39400	AT1G11090
AT3G61910	AT1G03490
AT3G08590	AT1G06030
AT2G37640	AT1G62980
AT3G08770	AT2G18370
AT5G13370	AT2G46370
AT5G56480	AT5G38180
AT4G26900	AT1G09795
AT1G78440	AT1G47990
AT5G47440	AT2G31085
AT5G03290	AT3G52200
AT5G47435	AT2G16570
AT5G62800	AT5G53260
AT5G13400	AT3G21670
AT5G41480	AT3G12290
AT3G45000	AT3G11397
AT5G13440	AT1G47420
AT3G53890	AT1G69620
AT5G44210	AT4G36990
AT5G23065	AT3G51375
AT5G24400	AT1G65570
AT3G27020	AT2G37900
AT4G25970	AT4G09760
AT3G60750	AT1G55670
AT3G06260	AT2G38650
AT1G70820	AT1G70500
AT3G22960	AT1G47840
AT5G03250	AT2G14820
AT1G47260	AT1G23310
AT5G20960	AT4G13290
AT5G06150	AT4G34160
AT3G62030	AT1G63245
AT5G24760	AT1G30620
AT5G30500	AT1G06780
AT2G47030	AT1G70500
AT5G08020	AT1G67500
AT4G03400	AT2G22240
AT5G60670	AT3G15190
AT4G15270	AT2G31750
AT5G04970	AT4G20050
AT5G44750	AT1G02670
AT2G33310	AT2G01200
AT3G08680	AT1G69990
AT2G18230	AT1G23190
AT5G08670	AT3G47450
AT5G52040	AT2G47580
AT5G41770	AT1G01040
AT1G53730	AT1G10850
AT5G03250	AT3G19850
AT5G26900	AT1G64610
AT5G64640	AT1G11580
AT4G28860	AT3G24550
AT4G14550	AT1G23160
AT5G12040	AT1G55090
AT5G04850	AT1G04260
AT2G38670	AT2G24850
AT4G24620	AT1G43670
AT4G39460	AT3G20240
AT5G66510	AT5G62575
AT3G18000	AT1G13560
AT1G68330	AT1G20930
AT2G38540	AT1G73550
AT2G41980	AT1G52890
AT5G02140	AT2G28790
AT4G28650	AT3G24770
AT4G34870	AT1G15240
AT3G55810	AT3G04120
AT5G04970	AT2G47550
AT3G07450	AT2G18370
AT5G44190	AT4G29940
AT2G36010	AT2G20570
AT3G44320	AT1G04180
AT3G55170	AT2G45710
AT2G04650	AT1G54940
AT4G04640	AT2G21410
AT5G18200	AT1G56710
ATCG01010	ATCG00440
AT5G02110	AT4G03270
AT5G23860	AT1G64740
AT3G07420	AT1G18130
AT5G41471	AT1G52980
AT5G13320	AT4G29080
AT5G65220	AT4G27090
AT5G24590	AT1G32770
AT5G56450	AT1G07030
AT4G18100	AT3G25520
AT2G31390	AT1G50460
AT2G39930	AT2G15450
AT4G24620	AT1G18270
AT5G35180	AT2G31081
AT3G07300	AT1G71350
AT1G65590	AT1G19170
AT4G33230	AT2G36710
AT4G11360	AT2G30580
AT5G48140	AT1G70820
AT5G17220	AT1G59670
AT5G07410	AT5G04970
AT5G51610	AT2G44860
AT1G49720	AT1G25490
AT4G17500	AT1G75240
AT1G68990	AT1G07470
AT3G58120	AT1G12630
AT3G04050	AT2G19860
AT5G48485	AT1G62510
AT4G33270	AT1G26600
AT3G23820	AT1G22440
AT4G19600	AT1G15570
AT4G20140	AT2G31880
AT4G38270	AT3G50760
AT4G36350	AT2G18130
AT3G56110	AT1G04260
AT5G05160	AT1G72180
AT3G02570	AT1G11840
AT2G37670	AT1G49005
AT4G28080	AT3G05880
AT5G49190	AT4G37840
AT3G55030	AT1G13560
AT5G04820	AT1G33240
AT5G50820	AT1G69490
AT4G39363	AT3G50825
AT4G23820	AT1G48100
AT1G52570	AT1G51440
AT3G04060	AT1G33280
AT1G67500	AT1G21710
AT3G47220	AT1G03060
AT2G42680	AT2G40220
AT3G11400	AT1G29550
AT4G27260	AT2G18010
AT5G67180	AT3G04070
AT2G33100	AT1G55850
AT5G10440	AT1G07370
AT3G51310	AT3G07680
AT3G50410	AT1G46768
AT2G39990	AT1G53900
AT5G67050	AT2G05260
AT5G01260	AT3G59850
AT2G30980	AT1G03445
AT3G05880	AT1G59870
AT2G44540	AT1G75680
ATCG01080	AT1G30380
AT3G54050	AT3G21055
AT3G18400	AT1G66630
AT3G22850	AT2G17290
AT5G53100	AT3G04070
AT5G01640	AT4G29160
AT3G58040	AT1G01720
AT5G42250	AT3G01260
AT5G53100	AT5G53090
AT4G22460	AT3G08770
AT4G36810	AT3G14510
AT4G00885	AT1G18075
AT3G03770	AT2G24230
AT2G27860	AT1G53500
AT5G17580	AT4G28556
AT2G39430	AT1G58170
AT5G06360	AT1G41880
AT5G48630	AT1G07370
AT3G59850	AT1G03310
AT4G26180	AT4G24570
AT4G00880	AT2G22670
AT5G51830	AT1G06020
AT1G75040	AT1G75030
AT4G02320	AT3G29090
AT1G16920	AT1G02690
AT3G47010	AT2G28420
AT5G20570	AT1G66050
AT3G25880	AT1G16510
AT5G20180	AT3G53430
AT4G13050	AT3G02610
AT4G38410	AT4G37220
AT2G30580	AT1G29340
AT5G46845	AT4G30972
AT5G58360	AT4G28910
AT3G10780	AT2G38410
AT4G29220	AT1G22650
AT3G25930	AT1G68300
AT2G29680	AT1G77390
AT5G09330	AT1G79580
AT2G26450	AT2G21610
AT1G56600	AT1G24170
AT1G56190	AT1G22440
AT5G42250	AT4G02280
AT4G32210	AT1G32350
AT5G41480	AT3G07270
AT5G64140	AT4G18100
AT5G24140	AT4G34650
AT5G14210	AT2G01950
AT5G56710	AT1G16740
AT4G21130	AT1G63780
AT5G23065	AT3G18217
AT3G57040	AT1G74890
AT5G47810	AT1G32440
AT3G16080	AT1G26880
AT5G12150	AT1G24490
AT5G27470	AT5G26830
AT2G29730	AT1G64910
AT4G17483	AT4G17480
AT4G14342	AT2G47580
AT1G79470	AT1G16350
AT3G29030	AT2G39700
AT4G36250	AT1G10060
AT5G62380	AT4G17280
AT2G32240	AT1G10940
AT2G25880	AT1G76540
AT1G63290	AT1G08110
AT5G64670	AT3G10950
AT5G02170	AT3G55740
AT5G58560	AT5G10170
AT5G57050	AT1G64040
AT5G61380	AT2G04630
AT4G03260	AT2G17290
AT2G46680	AT2G40950
AT5G52000	AT5G08080
AT5G37930	AT3G01600
AT5G39340	AT2G01830
AT5G01890	AT3G20190
AT4G34135	AT4G34131
AT5G63410	AT1G06840
AT4G27150	AT1G73890
AT1G54330	AT1G26870
AT3G59480	AT1G79550
AT4G08590	AT1G66050
AT5G59310	AT4G12500
AT3G06560	AT2G41340
AT5G57890	AT2G28880
AT4G15130	AT1G77130
AT4G21160	AT4G08520
AT4G05150	AT3G29160
AT3G26030	AT2G31081
AT4G02890	AT2G25710
AT5G54760	AT1G22780
AT5G09760	AT3G17060
AT4G09950	AT4G09940
AT4G09510	AT3G20040
AT2G37030	AT1G48690
AT2G22490	AT1G47210
AT5G23250	AT3G52200
AT2G40510	AT2G39460
AT2G24230	AT1G60630
AT2G40120	AT1G11440
ATMG00285	AT3G22370
AT4G29080	AT2G21210
AT5G24380	AT2G40300
AT5G26810	AT2G36700
AT5G46760	AT1G12630
AT4G11360	AT2G17310
AT5G27570	AT4G38740
AT3G14310	AT3G05620
AT3G17940	AT1G63180
AT5G54960	AT1G42970
AT5G18810	AT3G53500
AT5G27570	AT1G15240
AT3G55440	AT1G22430
AT5G54510	AT2G21200
AT5G20970	AT1G09080
AT4G01370	AT3G01520
AT5G62940	AT5G46760
AT3G25290	AT1G61110
ATCG00270	AT2G34420
AT5G05987	AT3G56110
AT5G59240	AT2G40590
AT1G18090	AT1G01880
AT1G69200	AT1G12000
AT3G47400	AT3G05610
AT4G31540	AT2G28640
AT3G27690	AT1G30380
AT3G25140	AT2G20810
AT5G50230	AT3G10490
AT4G17980	AT1G02230
AT4G12490	AT1G73560
AT3G49970	AT3G08570
AT3G25410	AT3G19490
AT3G11325	AT1G12640
AT5G48485	AT4G12550
AT4G28556	AT2G38050
AT3G15210	AT1G33240
AT4G28530	AT1G66630
AT3G55440	AT2G36190
AT4G16450	AT2G35370
AT4G27260	AT4G12410
AT3G44620	AT1G64040
AT2G36580	AT1G64710
AT3G60830	AT1G57820
AT3G14720	AT2G48010
AT5G37910	AT5G18270
AT5G27630	AT4G22610
AT5G53320	AT2G41820
AT3G56370	AT1G75820
AT5G08570	AT2G45290
AT2G15300	AT1G12460
AT1G72300	AT1G48480
AT4G26740	AT4G13560
AT1G02790	AT1G02460
AT5G65710	AT3G28040
AT5G22650	AT2G22540
AT5G35630	AT2G40760
AT1G66795	AT1G26985
AT5G24210	AT4G16820
AT5G42200	AT2G22010
AT5G40850	AT3G48730
AT3G15570	AT2G38050
AT3G03250	AT1G30620
AT3G19290	AT1G32640
AT5G57330	AT4G37040
AT3G42950	AT1G02460
AT4G17260	AT1G12240
AT3G48590	AT3G24500
AT5G51830	AT3G55810
AT3G61910	AT2G41980
AT5G66760	AT2G47690
AT3G58500	AT1G22280
AT4G29160	AT1G55190
AT4G35100	AT3G57530
AT4G23820	AT3G47050
AT4G08180	AT2G31081
AT4G03390	AT1G28440
AT5G26570	AT4G15210
AT4G03070	AT3G46500
AT4G26510	AT2G39630
AT4G11030	AT3G11430
AT3G09880	AT2G31085
AT3G57290	AT1G54140
AT5G44286	AT2G43141
AT5G20850	AT5G02820
AT3G04730	AT2G47750
AT3G16780	AT3G10950
AT5G40650	AT2G47380
